date,gl_id,gl_account,actuals,plan,variance,variance_pct
2025-01-01,1000,revenue,13744177.3415289,15001000.0,-1256822.6584711,-0.08378259172529165
2025-01-01,1010,subscriptions,13743232.56,15000000.0,-1256767.4399999995,-0.08378449599999996
2025-01-01,1020,services,450.6700686,500.0,-49.32993140000002,-0.09865986280000004
2025-01-01,1030,others,494.1114603,500.0,-5.888539700000024,-0.011777079400000048
2025-01-01,2000,cogs,584703.4046311,600540.0,-15836.595368899987,-0.02637059208195955
2025-01-01,2001,cogs_pct,0.04254189902398754,0.04003333111125925,0.002508567912728292,0.06266198298004647
2025-01-01,2010,payment_fees,584235.6095,600040.0,-15804.39049999998,-0.026338894907006166
2025-01-01,2020,other_costs,467.7951311,500.0,-32.20486890000001,-0.06440973780000002
2025-01-01,3000,gross_margin,13159473.9368978,14400460.0,-1240986.0631022006,-0.08617683484431751
2025-01-01,3001,gross_margin_pct,0.9574581009760124,0.9599666688887407,-0.0025085679127283544,-0.002613182305206781
2025-01-01,4000,commercial_costs,222009.25255700003,227344.0,-5334.747442999971,-0.02346552995900473
2025-01-01,4001,commercial_costs_pct,0.01615296769244857,0.015155256316245584,0.0009977113762029872,0.06583269562610411
2025-01-01,4010,sales,117749.77646000001,118451.0,-701.2235399999918,-0.00591994613806546
2025-01-01,4011,sales_staff,107188.0408,108000.0,-811.9591999999975,-0.0075181407407407174
2025-01-01,4012,sales_non_staff,10561.73566,10451.0,110.73566000000028,0.010595699933020791
2025-01-01,4020,marketing,87772.44138999999,93176.0,-5403.558610000007,-0.05799303050141675
2025-01-01,4021,marketing_staff,74276.68022,80417.0,-6140.319780000005,-0.07635599164355802
2025-01-01,4022,marketing_non_staff,13495.76117,12759.0,736.7611699999998,0.057744429030488265
2025-01-01,4030,csm,16487.034707,15717.0,770.0347069999989,0.0489937460711331
2025-01-01,4031,csm_staff,9167.033961,8417.0,750.0339609999992,0.08910941677557314
2025-01-01,4032,csm_non_staff,7320.000746,7300.0,20.000745999999708,0.002739828219178042
2025-01-01,5000,contribution_margin,13159473.9368978,14400460.0,-1240986.0631022006,-0.08617683484431751
2025-01-01,5001,contribution_margin_pct,0.9574581009760124,0.9599666688887407,-0.0025085679127283544,-0.002613182305206781
2025-01-01,6000,fixed_costs,309326.78823299997,299445.0,9881.78823299997,0.0330003447477833
2025-01-01,6001,fixed_costs_pct,0.022506024227317668,0.019961669222051864,0.0025443550052658033,0.12746203621363628
2025-01-01,6010,development,189058.89289,178429.0,10629.892889999988,0.059574917137909134
2025-01-01,6011,development_staff,169459.4165,158750.0,10709.416499999992,0.06746089133858263
2025-01-01,6012,development_non_staff,19599.47639,19679.0,-79.52361000000019,-0.004041039178820071
2025-01-01,6020,product,36837.511986,40544.0,-3706.4880140000023,-0.09141890326558806
2025-01-01,6021,product_staff,33468.65924,37000.0,-3531.340759999999,-0.09544164216216214
2025-01-01,6022,product_non_staff,3368.852746,3544.0,-175.14725399999998,-0.04942078273137697
2025-01-01,6030,talent,4435.853028,4700.0,-264.14697199999955,-0.05620148340425522
2025-01-01,6031,talent_staff,4435.853028,4700.0,-264.14697199999955,-0.05620148340425522
2025-01-01,6032,talent_non_staff,0.0,0.0,0.0,0.0
2025-01-01,6040,general_and_admin,70732.0996,66772.0,3960.0996000000014,0.059307787695441226
2025-01-01,6041,general_and_admin_staff,58929.54262,55833.0,3096.54262,0.05546079594505042
2025-01-01,6042,general_and_admin_non_staff,11802.55698,10939.0,863.5569799999994,0.07894295456623086
2025-01-01,6050,data,8262.430729,9000.0,-737.5692710000003,-0.08195214122222226
2025-01-01,6051,data_staff,8262.430729,9000.0,-737.5692710000003,-0.08195214122222226
2025-01-01,6052,data_non_staff,0.0,0.0,0.0,0.0
2025-01-01,7000,total_cost,1116039.4454211001,1127329.0,-11289.554578899872,-0.01001442753526244
2025-01-01,7001,total_cost_pct,0.0812008909437538,0.0751502566495567,0.006050634294197096,0.08051382076328263
2025-01-01,8000,ebitda,13159473.9368978,14400460.0,-1240986.0631022006,-0.08617683484431751
2025-01-01,8001,ebitda_pct,0.9574581009760124,0.9599666688887407,-0.0025085679127283544,-0.002613182305206781
2025-02-01,1000,revenue,14272444.8268792,15195000.0,-922555.1731208004,-0.06071439112344853
2025-02-01,1010,subscriptions,14271457.69,15194000.0,-922542.3100000005,-0.06071754047650392
2025-02-01,1020,services,470.8796077,500.0,-29.120392299999992,-0.058240784599999984
2025-02-01,1030,others,516.2572715,500.0,16.2572715,0.032514543
2025-02-01,2000,cogs,602578.0682774,608300.0,-5721.931722600013,-0.009406430581292147
2025-02-01,2001,cogs_pct,0.04221968104179102,0.04003290556103981,0.0021867754807512046,0.05462445081376715
2025-02-01,2010,payment_fees,602047.662,607800.0,-5752.337999999989,-0.009464195459032558
2025-02-01,2020,other_costs,530.4062774,500.0,30.40627740000002,0.06081255480000004
2025-02-01,3000,gross_margin,13669866.7586018,14586700.0,-916833.2413982004,-0.062854054816936
2025-02-01,3001,gross_margin_pct,0.957780318958209,0.9599670944389602,-0.0021867754807511908,-0.0022779692068812234
2025-02-01,4000,commercial_costs,220532.946558,227344.0,-6811.053442000004,-0.029959239927158862
2025-02-01,4001,commercial_costs_pct,0.015451658719511865,0.014961763738071733,0.0004898949814401317,0.03274313042342354
2025-02-01,4010,sales,117761.32493,118451.0,-689.6750699999975,-0.0058224503803260205
2025-02-01,4011,sales_staff,106537.895,108000.0,-1462.104999999996,-0.013538009259259222
2025-02-01,4012,sales_non_staff,11223.42993,10451.0,772.4299300000002,0.07390966701751031
2025-02-01,4020,marketing,87014.16824999999,93176.0,-6161.831750000012,-0.066131104039667
2025-02-01,4021,marketing_staff,75207.8648,80417.0,-5209.135200000004,-0.06477654227339996
2025-02-01,4022,marketing_non_staff,11806.30345,12759.0,-952.6965500000006,-0.07466859079865197
2025-02-01,4030,csm,15757.453377999998,15717.0,40.45337799999834,0.0025738612966850123
2025-02-01,4031,csm_staff,8599.960705,8417.0,182.9607049999995,0.0217370446714981
2025-02-01,4032,csm_non_staff,7157.492673,7300.0,-142.50732700000026,-0.019521551643835653
2025-02-01,5000,contribution_margin,13669866.7586018,14586700.0,-916833.2413982004,-0.062854054816936
2025-02-01,5001,contribution_margin_pct,0.957780318958209,0.9599670944389602,-0.0021867754807511908,-0.0022779692068812234
2025-02-01,6000,fixed_costs,305090.61131500005,299445.0,5645.611315000046,0.018853583512832225
2025-02-01,6001,fixed_costs_pct,0.021376198332918053,0.01970681145113524,0.0016693868817828118,0.08471116121053891
2025-02-01,6010,development,187040.15557,178429.0,8611.155570000003,0.04826096413699568
2025-02-01,6011,development_staff,165808.0735,158750.0,7058.073499999999,0.044460305511811016
2025-02-01,6012,development_non_staff,21232.08207,19679.0,1553.0820700000004,0.07892078205193355
2025-02-01,6020,product,41293.363161999994,40544.0,749.3631619999942,0.018482714137726772
2025-02-01,6021,product_staff,37769.51753,37000.0,769.5175299999974,0.02079777108108101
2025-02-01,6022,product_non_staff,3523.845632,3544.0,-20.154367999999977,-0.005686898419864553
2025-02-01,6030,talent,4397.710687,4700.0,-302.2893130000002,-0.06431687510638302
2025-02-01,6031,talent_staff,4397.710687,4700.0,-302.2893130000002,-0.06431687510638302
2025-02-01,6032,talent_non_staff,0.0,0.0,0.0,0.0
2025-02-01,6040,general_and_admin,63686.278549999995,66772.0,-3085.7214500000046,-0.04621280551728276
