date,gl_id,gl_account,value_type_id,type,amount
2025-01-01,1000,revenue,1,actuals,13744177.3415289
2025-01-01,1010,subscriptions,1,actuals,13743232.56
2025-01-01,1020,services,1,actuals,450.6700686
2025-01-01,1030,others,1,actuals,494.1114603
2025-01-01,2000,cogs,1,actuals,584703.4046311
2025-01-01,2010,payment_fees,1,actuals,584235.6095
2025-01-01,2020,other_costs,1,actuals,467.7951311
2025-01-01,4000,commercial_costs,1,actuals,222009.25255700003
2025-01-01,4010,sales,1,actuals,117749.77646000001
2025-01-01,4011,sales_staff,1,actuals,107188.0408
2025-01-01,4012,sales_non_staff,1,actuals,10561.73566
2025-01-01,4020,marketing,1,actuals,87772.44138999999
2025-01-01,4021,marketing_staff,1,actuals,74276.68022
2025-01-01,4022,marketing_non_staff,1,actuals,13495.76117
2025-01-01,4030,csm,1,actuals,16487.034707
2025-01-01,4031,csm_staff,1,actuals,9167.033961
2025-01-01,4032,csm_non_staff,1,actuals,7320.000746
2025-01-01,6000,fixed_costs,1,actuals,309326.78823299997
2025-01-01,6010,development,1,actuals,189058.89289
2025-01-01,6011,development_staff,1,actuals,169459.4165
2025-01-01,6012,development_non_staff,1,actuals,19599.47639
2025-01-01,6020,product,1,actuals,36837.511986
2025-01-01,6021,product_staff,1,actuals,33468.65924
2025-01-01,6022,product_non_staff,1,actuals,3368.852746
2025-01-01,6030,talent,1,actuals,4435.853028
2025-01-01,6031,talent_staff,1,actuals,4435.853028
2025-01-01,6032,talent_non_staff,1,actuals,0.0
2025-01-01,6040,general_and_admin,1,actuals,70732.0996
2025-01-01,6041,general_and_admin_staff,1,actuals,58929.54262
2025-01-01,6042,general_and_admin_non_staff,1,actuals,11802.55698
2025-01-01,6050,data,1,actuals,8262.430729
2025-01-01,6051,data_staff,1,actuals,8262.430729
2025-01-01,6052,data_non_staff,1,actuals,0.0
2025-02-01,1000,revenue,1,actuals,14272444.8268792
2025-02-01,1010,subscriptions,1,actuals,14271457.69
2025-02-01,1020,services,1,actuals,470.8796077
2025-02-01,1030,others,1,actuals,516.2572715
2025-02-01,2000,cogs,1,actuals,602578.0682774
2025-02-01,2010,payment_fees,1,actuals,602047.662
2025-02-01,2020,other_costs,1,actuals,530.4062774
2025-02-01,4000,commercial_costs,1,actuals,220532.946558
2025-02-01,4010,sales,1,actuals,117761.32493
2025-02-01,4011,sales_staff,1,actuals,106537.895
2025-02-01,4012,sales_non_staff,1,actuals,11223.42993
2025-02-01,4020,marketing,1,actuals,87014.16824999999
2025-02-01,4021,marketing_staff,1,actuals,75207.8648
2025-02-01,4022,marketing_non_staff,1,actuals,11806.30345
2025-02-01,4030,csm,1,actuals,15757.453377999998
2025-02-01,4031,csm_staff,1,actuals,8599.960705
2025-02-01,4032,csm_non_staff,1,actuals,7157.492673
2025-02-01,6000,fixed_costs,1,actuals,305090.61131500005
2025-02-01,6010,development,1,actuals,187040.15557
2025-02-01,6011,development_staff,1,actuals,165808.0735
2025-02-01,6012,development_non_staff,1,actuals,21232.08207
2025-02-01,6020,product,1,actuals,41293.363161999994
2025-02-01,6021,product_staff,1,actuals,37769.51753
2025-02-01,6022,product_non_staff,1,actuals,3523.845632
2025-02-01,6030,talent,1,actuals,4397.710687
2025-02-01,6031,talent_staff,1,actuals,4397.710687
2025-02-01,6032,talent_non_staff,1,actuals,0.0
2025-02-01,6040,general_and_admin,1,actuals,63686.278549999995
2025-02-01,6041,general_and_admin_staff,1,actuals,52430.54846
2025-02-01,6042,general_and_admin_non_staff,1,actuals,11255.73009
2025-02-01,6050,data,1,actuals,8673.103346
2025-02-01,6051,data_staff,1,actuals,8673.103346
2025-02-01,6052,data_non_staff,1,actuals,0.0
2025-03-01,1000,revenue,1,actuals,14745607.106439
2025-03-01,1010,subscriptions,1,actuals,14744583.7
2025-03-01,1020,services,1,actuals,489.5414422
2025-03-01,1030,others,1,actuals,533.8649968
2025-03-01,2000,cogs,1,actuals,628546.0067866
2025-03-01,2010,payment_fees,1,actuals,628085.4427
2025-03-01,2020,other_costs,1,actuals,460.5640866
2025-03-01,4000,commercial_costs,1,actuals,218558.91660199998
2025-03-01,4010,sales,1,actuals,111814.79572
2025-03-01,4011,sales_staff,1,actuals,100450.0223
2025-03-01,4012,sales_non_staff,1,actuals,11364.77342
2025-03-01,4020,marketing,1,actuals,91356.20272
2025-03-01,4021,marketing_staff,1,actuals,79683.8819
2025-03-01,4022,marketing_non_staff,1,actuals,11672.32082
2025-03-01,4030,csm,1,actuals,15387.918162
2025-03-01,4031,csm_staff,1,actuals,8325.344401
2025-03-01,4032,csm_non_staff,1,actuals,7062.573761
2025-03-01,6000,fixed_costs,1,actuals,313990.265528
2025-03-01,6010,development,1,actuals,188340.01626
2025-03-01,6011,development_staff,1,actuals,169850.7982
2025-03-01,6012,development_non_staff,1,actuals,18489.21806
2025-03-01,6020,product,1,actuals,43369.762233999994
2025-03-01,6021,product_staff,1,actuals,39743.28191
2025-03-01,6022,product_non_staff,1,actuals,3626.480324
2025-03-01,6030,talent,1,actuals,4889.989012
2025-03-01,6031,talent_staff,1,actuals,4889.989012
2025-03-01,6032,talent_non_staff,1,actuals,0.0
2025-03-01,6040,general_and_admin,1,actuals,69136.35172
2025-03-01,6041,general_and_admin_staff,1,actuals,57592.59694
2025-03-01,6042,general_and_admin_non_staff,1,actuals,11543.75478
2025-03-01,6050,data,1,actuals,8254.146302
2025-03-01,6051,data_staff,1,actuals,8254.146302
2025-03-01,6052,data_non_staff,1,actuals,0.0
2025-04-01,1000,revenue,1,actuals,14192329.2479928
2025-04-01,1010,subscriptions,1,actuals,14191396.43
2025-04-01,1020,services,1,actuals,478.85349
2025-04-01,1030,others,1,actuals,453.9645028
2025-04-01,2000,cogs,1,actuals,638873.4597601
2025-04-01,2010,payment_fees,1,actuals,638409.8424
2025-04-01,2020,other_costs,1,actuals,463.6173601
2025-04-01,4000,commercial_costs,1,actuals,228508.508827
2025-04-01,4010,sales,1,actuals,116285.06275000001
2025-04-01,4011,sales_staff,1,actuals,106242.767
2025-04-01,4012,sales_non_staff,1,actuals,10042.29575
2025-04-01,4020,marketing,1,actuals,95865.16166
2025-04-01,4021,marketing_staff,1,actuals,82561.92209
2025-04-01,4022,marketing_non_staff,1,actuals,13303.23957
2025-04-01,4030,csm,1,actuals,16358.284417
2025-04-01,4031,csm_staff,1,actuals,9049.552808
2025-04-01,4032,csm_non_staff,1,actuals,7308.731609
2025-04-01,6000,fixed_costs,1,actuals,294324.659441
2025-04-01,6010,development,1,actuals,172101.56121
2025-04-01,6011,development_staff,1,actuals,153131.2068
2025-04-01,6012,development_non_staff,1,actuals,18970.35441
2025-04-01,6020,product,1,actuals,39388.579135
2025-04-01,6021,product_staff,1,actuals,36057.18967
2025-04-01,6022,product_non_staff,1,actuals,3331.389465
2025-04-01,6030,talent,1,actuals,5042.274747
2025-04-01,6031,talent_staff,1,actuals,5042.274747
2025-04-01,6032,talent_non_staff,1,actuals,0.0
2025-04-01,6040,general_and_admin,1,actuals,68453.85407
2025-04-01,6041,general_and_admin_staff,1,actuals,58310.41526
2025-04-01,6042,general_and_admin_non_staff,1,actuals,10143.43881
2025-04-01,6050,data,1,actuals,9338.390279
2025-04-01,6051,data_staff,1,actuals,9338.390279
2025-04-01,6052,data_non_staff,1,actuals,0.0
2025-05-01,1000,revenue,1,actuals,15553942.5052787
2025-05-01,1010,subscriptions,1,actuals,15552931.2
2025-05-01,1020,services,1,actuals,507.9025575
2025-05-01,1030,others,1,actuals,503.4027212
2025-05-01,2000,cogs,1,actuals,590557.6412246
2025-05-01,2010,payment_fees,1,actuals,590018.1491
2025-05-01,2020,other_costs,1,actuals,539.4921246
2025-05-01,4000,commercial_costs,1,actuals,229523.14443599997
2025-05-01,4010,sales,1,actuals,120717.53712
2025-05-01,4011,sales_staff,1,actuals,109812.3675
2025-05-01,4012,sales_non_staff,1,actuals,10905.16962
2025-05-01,4020,marketing,1,actuals,94264.96698
2025-05-01,4021,marketing_staff,1,actuals,82584.12242
2025-05-01,4022,marketing_non_staff,1,actuals,11680.84456
2025-05-01,4030,csm,1,actuals,14540.640336
2025-05-01,4031,csm_staff,1,actuals,7582.881256
2025-05-01,4032,csm_non_staff,1,actuals,6957.75908
2025-05-01,6000,fixed_costs,1,actuals,291588.91131800006
2025-05-01,6010,development,1,actuals,173042.60912
2025-05-01,6011,development_staff,1,actuals,151743.4868
2025-05-01,6012,development_non_staff,1,actuals,21299.12232
2025-05-01,6020,product,1,actuals,39967.744339
2025-05-01,6021,product_staff,1,actuals,36118.64443
