date,weeknum,asset_provider,asset_id,currency,amount
2025-01-06,202502,Stripe,a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,EUR,173668.52149344547
2025-01-06,202502,Internal,a3b4c5d6-e7f8-4a9b-0c1d-2e3f4a5b6c7d,GBP,1216910.5954889935
2025-01-06,202502,Internal,a5b6c7d8-e9f0-4a1b-2c3d-4e5f6a7b8c9d,EUR,444778.5879285391
2025-01-06,202502,Stripe,a7b8c9d0-e1f2-4a3b-4c5d-6e7f8a9b0c1d,EUR,454883.1580532345
2025-01-06,202502,HSBC,a9b0c1d2-e3f4-4a5b-6c7d-8e9f0a1b2c3d,USD,204706.47148478197
2025-01-06,202502,Revolut,b0c1d2e3-f4a5-4b6c-7d8e-9f0a1b2c3d4e,EUR,81552.74252103463
2025-01-06,202502,PayPal,b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,USD,99469.31890180029
2025-01-06,202502,Internal,b4c5d6e7-f8a9-4b0c-1d2e-3f4a5b6c7d8e,USD,835612.903264417
2025-01-06,202502,PayPal,b8c9d0e1-f2a3-4b4c-5d6e-7f8a9b0c1d2e,GBP,219625.7490772042
2025-01-06,202502,Stripe,c1d2e3f4-a5b6-4c7d-8e9f-0a1b2c3d4e5f,CHF,95336.68090536045
